编号,场景,文案,图片url,音频url,视频url,用户id
21001,2B,我也许会想要送现在的刘恋一个海藻球。我现在桌面上就养着一瓶，暂时还没有看出什么变化来。但据说海藻球可以活好多好多好多年，那么应该可以静静地陪小恋读过好多年岁吧。,,,,悄悄很安静
21002,2B,送给处在对自己迷茫和怀疑中的小刘一张《奇谈》相信什么都不用说 小刘就会懂自己的,,,,0_Yuzz
21003,2B,送给现在的刘恋一部《血源诅咒》设定集。可能这是姐永远玩不明白的游戏，但它真的很阴森也很美丽,,,,我的猫儿黄白身子金镶玉
21004,2B,送给我认识她以后的每一天的刘恋我珍贵的爱哈哈哈！I'm watching you~,,,,初霁之阳
21005,2B,送给刚刚开始唱歌的恋一本奇谈专辑，想告诉她以后她一定一定会成为一名很优秀的歌手 创作人，所以不要担心焦虑，大胆的走下去吧。,,,,风风风风晗
21006,2B,给17岁距离高考还有五十天的小恋 送给她无坚不摧的勇气 并告诉她 她很棒 无论怎样 未来都是美好可期待的,,,,一只蛋挞
21007,2B,给现在的刘恋送一本《超美味四季家常菜3888例》,,,,予寧冬
21008,2B,送给那个瓶颈期的恋恋一封八百字的信，不要自我怀疑，坚持你自己的想法就好，不要内耗，你已经做的很好了，未来很多人爱你，爱你的每一个作品。,,,,拖延症小王
21009,2B,给学生刘恋的小纸条：学姐，你以后一定会成为一个很厉害的人的！或许你并不知道我是谁，但请你务必相信这句话，然后，到未来看看吧！,,,,悄悄很安静
21010,2B,给学生刘恋的小纸条：学姐好美！能认识一下嘛~我的微信号是：xxxxxx…言归正传…学姐不要焦虑不要担心 你以后会过得很好很好 追你的人能排好几公里 你的演出座无虚席,,,,敦敦是个小太阳
21011,2B,给学生刘恋的小纸条：学姐，未来会有很多人爱你！放心大胆的去做吧！,,,,小叽不哈气
21012,2B,给学生刘恋的小纸条：学姐我考试最后一道大题不会，你能教教我吗??，请你喝奶茶,,,,风风风风晗
21013,2B,给学生刘恋的小纸条：除去分数，你本身已经是很好的人，尽情选择你想要的未来吧，勇敢地体验美丽人生,,,,划
21014,2B,给学生刘恋的小纸条：姐姐你好美！！！(小狗转圈) (叼着鲜花跑来) (小狗倒立) (欢快跑开) 下了晚自习回去吃不吃泡面？,,,,人鱼
21015,2B,给学生刘恋的小纸条：你晚饭准备吃啥？,,,,予寧冬
21016,2B,给学生刘恋的小纸条：学姐，一起去livehouse吗？,,,,拖延症小王
21017,2B,给学生刘恋的小纸条：你好，我们可以做朋友吗？,,,,昀卿
21018,2B,给学生刘恋的小纸条：学姐你好帅你可不可以辅导我全科作业（）,,,,Yuanlizhinv_lian
